iter	RMSE
0	0.1060001276
1	0.105996706
2	0.1059928714
3	0.1059889803
4	0.1059848323
5	0.1059820831
6	0.1059780364
7	0.1059748482
8	0.1059706137
9	0.1059674436
10	0.1059636342
11	0.1059601079
12	0.1059566242
13	0.1059521632
14	0.1059489339
15	0.1059450283
16	0.1059412882
17	0.1059372492
18	0.105934253
19	0.1059310431
20	0.1059276704
21	0.1059247713
22	0.10592074
23	0.1059172757
24	0.1059132531
25	0.1059099252
26	0.1059058579
27	0.1059031295
28	0.1058997889
29	0.1058956018
30	0.1058916686
31	0.1058882182
32	0.1058848508
33	0.1058806275
34	0.1058777381
35	0.1058732932
36	0.1058695503
37	0.1058660641
38	0.1058622584
39	0.105858297
40	0.1058547194
41	0.1058507616
42	0.1058474378
43	0.1058439658
44	0.1058404398
45	0.1058360303
46	0.1058316828
47	0.1058280349
48	0.1058244314
49	0.1058204043
50	0.1058166371
51	0.1058140718
52	0.1058111715
53	0.1058080674
54	0.1058048042
55	0.1058012587
56	0.1057982765
57	0.1057939767
58	0.1057899595
59	0.1057859294
60	0.1057823563
61	0.1057778819
62	0.1057736871
63	0.1057700219
64	0.105766841
65	0.1057634634
66	0.1057594996
67	0.1057560114
68	0.1057526413
69	0.105748376
70	0.1057445802
71	0.1057412189
72	0.1057368836
73	0.1057325874
74	0.105729252
75	0.1057256437
76	0.1057219527
77	0.1057183754
78	0.1057144546
79	0.105711012
80	0.1057071888
81	0.1057031247
82	0.1056997354
83	0.1056962278
84	0.1056925607
85	0.1056889972
86	0.1056845781
87	0.1056803774
88	0.1056766015
89	0.1056732626
90	0.1056697293
91	0.1056657492
92	0.1056620695
93	0.1056584882
94	0.1056549577
95	0.1056517598
96	0.1056484854
97	0.1056442607
98	0.1056409328
99	0.1056379016
100	0.1056341774
101	0.1056304233
102	0.1056270029
103	0.1056230586
104	0.1056195955
105	0.1056157444
106	0.1056126685
107	0.1056088313
108	0.1056047602
109	0.1056007483
110	0.1055972668
111	0.1055934327
112	0.105589575
113	0.1055855913
114	0.1055826332
115	0.1055785329
116	0.1055754549
117	0.1055725716
118	0.1055694644
119	0.105564987
120	0.1055613477
121	0.105557541
122	0.1055543221
123	0.1055507271
124	0.1055468444
125	0.1055431789
126	0.1055403046
127	0.1055359295
128	0.1055325723
129	0.105528934
130	0.1055256759
131	0.1055220466
132	0.1055186407
133	0.1055148024
134	0.1055110319
135	0.1055070974
136	0.1055028958
137	0.1055000989
138	0.1054960842
139	0.1054929363
140	0.1054892208
141	0.1054862716
142	0.1054829127
143	0.1054793015
144	0.1054750006
145	0.1054711146
146	0.1054667548
147	0.1054622199
148	0.1054586518
