iter	Passed	Remaining
0	358	358236
1	674	336585
2	909	302153
3	1167	290648
4	1552	308887
5	1905	315637
6	2277	323125
7	2638	327214
8	2824	310965
9	3184	315230
10	3664	329435
11	3882	319632
12	4189	318059
13	4449	313355
14	4777	313713
15	5028	309264
16	5375	310848
17	5627	307032
18	5894	304338
19	6266	307070
20	6490	302571
21	6735	299443
22	6990	296935
23	7301	296917
24	7603	296529
25	7913	296433
26	8246	297165
27	8548	296743
28	8817	295239
29	9122	294950
30	9461	295753
31	9804	296594
32	10124	296670
33	10386	295097
34	10786	297408
35	11034	295491
36	11473	298618
37	11823	299314
38	12263	302182
39	12591	302204
40	12879	301264
41	13142	299775
42	13432	298960
43	13694	297534
44	13988	296870
45	14284	296243
46	14567	295379
47	14820	293940
48	15156	294164
49	15507	294639
50	15878	295468
51	16196	295281
52	16561	295918
53	16884	295789
54	17249	296377
55	17587	296480
56	17852	295344
57	18183	295328
58	18465	294515
59	18762	293941
60	18994	292385
61	19233	290990
62	19473	289630
63	19691	287987
64	20047	288381
65	20292	287172
66	20527	285855
67	20721	284009
68	20960	282820
69	21209	281781
70	21458	280769
71	21687	279528
72	21968	278967
73	22213	277965
74	22447	276857
75	22708	276082
76	22992	275615
77	23321	275669
78	23612	275275
79	23959	275536
80	24223	274833
81	24501	274293
82	24743	273370
83	25118	273912
84	25361	273007
85	25697	273105
86	26069	273581
87	26407	273676
88	26765	273967
89	27001	273020
90	27324	272946
91	27649	272883
92	27924	272336
93	28241	272196
94	28486	271371
95	28711	270370
96	29015	270108
97	29325	269913
98	29640	269759
99	29891	269021
100	30095	267882
101	30305	266811
102	30602	266511
103	30930	266476
104	31166	265656
105	31388	264725
106	31691	264486
107	31921	263644
108	32145	262770
109	32456	262602
110	32742	262232
111	32974	261438
112	33199	260597
113	33449	259969
114	33768	259872
115	34051	259496
116	34336	259137
117	34667	259123
118	34928	258590
119	35172	257930
120	35453	257547
121	35795	257612
122	36114	257499
123	36347	256778
124	36575	256026
125	36800	255264
126	37083	254909
127	37328	254299
128	37633	254101
129	37944	253935
130	38261	253811
131	38547	253479
132	38847	253238
133	39156	253058
134	39449	252768
135	39713	252295
136	39975	251817
137	40233	251314
138	40499	250865
139	40756	250359
140	41032	249977
141	41267	249348
142	41608	249358
143	41839	248710
144	42137	248468
145	42407	248052
146	42676	247638
147	42913	247041
148	43179	246616
149	43422	246063
150	43630	245312
151	43930	245083
152	44252	244980
153	44587	244942
154	44861	244565
155	45117	244099
156	45411	243835
157	45700	243541
158	45902	242791
159	46164	242363
160	46483	242236
161	46721	241682
162	46963	241156
163	47247	240846
164	47502	240389
165	47782	240066
166	48097	239911
167	48395	239670
168	48739	239659
169	49036	239415
170	49243	238731
171	49462	238107
172	49751	237828
173	50058	237633
174	50380	237506
175	50686	237306
176	50878	236570
177	51120	236075
178	51405	235776
179	51746	235733
180	51952	235080
181	52213	234671
182	52470	234253
183	52736	233876
184	52993	233459
185	53259	233081
186	53559	232854
187	53819	232455
188	54034	231860
189	54287	231434
190	54545	231032
191	54767	230478
192	55008	230009
193	55230	229460
194	55527	229228
195	55814	228953
196	56071	228554
197	56338	228198
198	56569	227698
199	56840	227363
200	57128	227094
201	57398	226754
202	57733	226668
203	58044	226487
204	58371	226369
205	58628	225974
206	58953	225847
207	59215	225475
208	59512	225235
209	59787	224916
210	60015	224418
211	60219	223835
212	60525	223632
213	60691	222915
214	60904	222373
215	61107	221796
216	61308	221218
217	61517	220673
218	61733	220155
219	61926	219558
220	62114	218946
221	62249	218153
222	62437	217552
223	62635	216986
224	62822	216388
225	63032	215871
226	63244	215365
227	63467	214898
228	63713	214512
229	63898	213920
230	64100	213390
231	64319	212919
232	64531	212426
233	64717	211853
234	64875	211190
235	65090	210715
236	65303	210238
237	65518	209768
238	65730	209293
239	65949	208839
240	66129	208266
241	66326	207750
242	66546	207307
243	66769	206875
244	66983	206418
245	67190	205940
246	67389	205442
247	67545	204815
248	67744	204320
249	67909	203727
250	68094	203198
251	68306	202751
252	68619	202603
253	68788	202033
254	68953	201452
255	69142	200946
256	69326	200427
257	69519	199935
258	69709	199440
259	69901	198951
260	70100	198482
261	70243	197861
262	70474	197488
263	70700	197103
264	70902	196653
265	71109	196218
266	71281	195690
267	71450	195156
268	71612	194605
269	71830	194209
270	72070	193871
271	72252	193382
272	72420	192856
273	72592	192344
274	72866	192103
275	73020	191547
276	73232	191145
277	73427	190701
278	73600	190199
279	73769	189692
280	73953	189226
281	74137	188761
282	74330	188322
283	74511	187851
284	74696	187396
285	74895	186977
286	75110	186599
287	75289	186133
288	75459	185645
289	75624	185148
290	75821	184732
291	75993	184258
292	76140	183723
293	76319	183270
294	76572	182994
295	76760	182565
296	77024	182316
297	77220	181908
298	77434	181542
299	77605	181079
300	77794	180658
301	78021	180328
302	78216	179923
303	78422	179545
304	78617	179145
305	78812	178744
306	78965	178250
307	79143	177815
308	79345	177436
309	79513	176982
310	79702	176576
311	79952	176306
312	80166	175956
313	80380	175608
314	80565	175197
315	80764	174819
316	80927	174364
317	81147	174033
318	81351	173669
319	81545	173284
320	81717	172853
321	81894	172435
322	82065	172007
323	82277	171664
324	82495	171336
325	82679	170938
326	82862	170540
327	83054	170161
328	83259	169809
329	83472	169473
330	83664	169098
331	83843	168696
332	84044	168340
333	84264	168025
334	84441	167622
335	84627	167240
336	84788	166809
337	85008	166495
338	85259	166243
339	85456	165886
340	85662	165547
341	85842	165159
342	86023	164774
343	86234	164447
344	86459	164147
345	86646	163776
346	86859	163455
347	87042	163079
